video_title,video_length,video_views,published_date,tournament
Frostbite 2020 SSBU Winners Top 96 - Kola (Roy) Vs. NRG | Nairo (Palutena) Smash Ultimate Singles,PT16M58S,71125,2020-02-23T20:12:10Z,Frostbite 2020
"Frostbite 2020 SSBU Winners Top 96 - TSM | Tweek (Wario, Trainer) Vs. UGS | Ravenking (Ike) Singles",PT18M5S,30375,2020-02-23T20:21:28Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 96 - sugoi | ven (Zelda) Vs. SLY | Glutonny (Wario) Smash Ultimate,PT22M18S,15336,2020-02-23T20:26:46Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 96 - Armada | BestNess (Ness) Vs. Mystearica (Palu) Ultimate Singles,PT19M9S,6937,2020-02-23T20:44:15Z,Frostbite 2020
"Frostbite 2020 SSBU Winners Top 96 - GW | zackray (G&W, ROB) Vs. CLG | VoiD (Sheik) Smash Singles",PT15M36S,171816,2020-02-23T20:31:07Z,Frostbite 2020
"Frostbite 2020 SSBU Losers Top 32 - MkLeo (Joker) Vs MVG | Salem (Hero, Dark Samus) Ultimate Singles",PT19M27S,196469,2020-02-23T21:10:51Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - Armada | Prodigy (Mario) Vs DNG | Nietono (Pichu) Smash Singles,PT12M8S,52733,2020-02-23T20:56:38Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - SG8 | Tea (Pac-Man) Vs. Wrath (Sonic) Smash Ultimate Singles,PT21M47S,12154,2020-02-23T21:21:58Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 24 - Armada | Prodigy (Mario) Vs. djb | MattyG (Chrom) Singles,PT13M59S,108510,2020-02-23T21:20:48Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 96 - Cosmos (Inkling) Vs. Kola (Roy) Smash Ultimate Singles,PT14M41S,20566,2020-02-23T21:27:07Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - Rogue | Light  (Fox) Vs NRG | Nairo (Palutena) Ultimate Singles,PT12M43S,41727,2020-02-23T21:23:05Z,Frostbite 2020
Frostbite 2020 SSBU Winners Top 96 - TSM | Tweek (Trainer) Vs. CLG | VoiD  (Sheik) Ultimate Singles,PT4M40S,45571,2020-02-23T21:51:35Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 24 - MVG | Dark Wizzy (Mario) Vs. MkLeo (Joker) Ultimate Singles,PT13M52S,80979,2020-02-23T21:44:02Z,Frostbite 2020
Frostbite 2020 SSBU Winners Quarters - NFT | Toast (Young Link) Vs SSG | Maister (G&W) Smash Singles,PT13M55S,37186,2020-02-23T21:52:48Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 24 - Solary | Glutonny (Wario) Vs. eUnited | Samsora (Peach) Singles,PT24M58S,55015,2020-02-23T22:17:14Z,Frostbite 2020
Frostbite 2020 SSBU Losers Top 24 - R2G | Kameme (Mega Man) Vs. Wrath (Sonic) Ultimate Singles,PT28M24S,22592,2020-02-23T22:19:34Z,Frostbite 2020
